date,hour,lat,lon,cape,cin,hlcy,t2m,d2m,lcl,shear,tornado
20240403,16,30.0759,-81.47,660.0,-3.168304443359375,152.63232421875,295.5389099121094,294.97117614746094,70.96672058105469,34.427710094667475,1
20240407,20,42.5569,-93.5764,320.0,-3.7078857421875,67.17916107177734,287.6781311035156,281.7674102783203,738.8401031494141,10.918962712864328,1
20240410,14,30.3035,-89.7831,600.0,-1.453857421875,169.70932006835938,294.70567321777344,294.05970764160156,80.74569702148438,29.404423512137328,1
20240411,15,29.8853,-81.5626,560.0,0.370849609375,180.7627410888672,296.6742248535156,295.23118591308594,180.37986755371094,27.53404049440186,1
20240412,22,38.5995,-83.7325,230.0,-5.642333984375,163.62913513183594,283.2637939453125,282.00714111328125,157.08160400390625,15.400800974598589,1
20240416,14,40.5455,-94.887,870.0,-4.032440185546875,218.02085876464844,291.2019958496094,290.50811767578125,86.73477172851562,30.391598731436293,1
20240417,20,40.7981,-83.0005,600.0,-0.0673828125,62.08576202392578,290.8854675292969,289.6123962402344,159.1339111328125,20.57408088250737,1
20240418,20,47.6571,-117.5586,140.0,-9.26385498046875,6.912017822265625,282.3091735839844,271.38311767578125,1365.7569885253906,6.258813031351156,1
20240426,17,41.0188,-98.8736,1740.0,-0.94989013671875,17.768142700195312,293.6561584472656,288.5772247314453,634.8667144775391,9.430085938028492,1
20240427,15,35.703,-99.527,3090.0,-0.147216796875,143.9444122314453,294.1805114746094,292.48597717285156,211.81678771972656,23.74491895154492,1
20240428,19,31.0102,-96.9941,1300.0,-0.420562744140625,92.02822875976562,294.8621826171875,293.68870544433594,146.6846466064453,23.559901019515646,1
20240430,21,39.3906,-96.443,2550.0,-8.109375,84.39068603515625,299.3538818359375,292.16920471191406,898.0846405029297,22.37604313313946,1
20240501,20,34.9165,-100.9991,3260.0,-22.7088623046875,72.73924255371094,299.7574462890625,292.3067321777344,931.3392639160156,25.669984344990322,1
20240502,15,31.6682,-93.4195,230.0,-6.9522705078125,15.125724792480469,294.58082580566406,293.62481689453125,119.50111389160156,15.12112485391763,1
20240503,20,32.028,-100.7034,3550.0,-14.985580444335938,32.90087890625,301.97703552246094,292.52569580078125,1181.417465209961,24.542298076156726,1
20240504,20,30.76,-102.89,1110.0,-18.7967529296875,26.062870025634766,305.4561462402344,281.74951171875,2963.329315185547,14.546926380379121,1
20240506,16,40.88,-100.7,100.0,-2.84808349609375,6.4380035400390625,295.1261291503906,281.92291259765625,1650.4020690917969,23.414717458901578,1
20240507,19,42.4401,-88.8039,990.0,-1.9830322265625,13.291213989257812,290.63751220703125,290.2056427001953,53.98368835449219,16.43829641415656,1
20240508,15,37.3535,-89.4773,2450.0,4.15435791015625,55.707645416259766,296.4421081542969,295.1229248046875,164.89791870117188,28.739922292825735,1
20240509,16,32.3056,-83.2747,1290.0,-11.537551879882812,40.70263671875,300.594482421875,294.5640411376953,753.8051605224609,21.863039145291417,1
20240511,18,41.0929,-81.3726,490.0,4.447174072265625,70.08056640625,285.72349548339844,283.2987518310547,303.09295654296875,15.707489946744408,1
20240513,20,28.68,-96.66,1690.0,-7.793212890625,-2.67681884765625,297.19789123535156,296.1393585205078,132.31658935546875,30.597678975911265,1
20240514,20,34.4198,-79.6459,640.0,-0.345703125,107.7992057800293,295.7459716796875,294.6540222167969,136.49368286132812,17.01897221608428,1
20240516,22,29.989,-95.9947,1670.0,-74.0009765625,81.60380554199219,298.2547607421875,296.763671875,186.3861083984375,27.49100676881047,1
20240602,21,45.0282,-102.4044,1690.0,-19.401779174804688,-5.5850830078125,298.5895538330078,287.5943298339844,1374.4029998779297,19.832088650281616,1
20240604,21,31.18,-90.87,2180.0,-16.5069580078125,50.67234802246094,300.33363342285156,296.47711181640625,482.06520080566406,15.327129603480055,1
20240605,13,40.4146,-87.8138,730.0,-0.2587890625,3.874359130859375,294.968505859375,293.72174072265625,155.84564208984375,13.02963227845318,1
20240606,23,28.63,-81.45,2340.0,0.04058837890625,-28.382843017578125,299.2349548339844,298.053955078125,147.62496948242188,11.501294251607844,1
20240607,20,34.9,-110.2582,50.0,-27.91015625,5.875732421875,308.94354248046875,270.09344482421875,4856.26220703125,6.2636711530835365,1
20240612,14,27.059,-80.1412,2440.0,-3.47381591796875,21.49853515625,300.0559387207031,299.2248992919922,103.87992858886719,10.478247650438265,1
